test/stochastic/0/handle-press-side-v1/return/avg	test/stochastic/0/handle-press-side-v1/return/std	test/stochastic/0/handle-press-side-v1/return/max	test/stochastic/0/handle-press-side-v1/return/min	test/stochastic/0/handle-press-side-v1/ep_length	test/stochastic/0/handle-press-side-v1/success	test/stochastic/average_success	test/deterministic/0/handle-press-side-v1/return/avg	test/deterministic/0/handle-press-side-v1/return/std	test/deterministic/0/handle-press-side-v1/return/max	test/deterministic/0/handle-press-side-v1/return/min	test/deterministic/0/handle-press-side-v1/ep_length	test/deterministic/0/handle-press-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-39.501413578483195	6.878559954998044	-22.24448922383418	-49.17899582302283	200.0	0.0	0.0	-45.11391401943546	0.0	-45.11391401943546	-45.11391401943546	200.0	0.0	0.0	1	4627.216745305104	15689.60427710203	115204.60253339676	-128.55745250765452	200.0	20000	20000	720.3985	1479.0394	15546.225	-526.37756	720.39734	1478.8855	15473.315	-472.172	9.242907	22.916452	483.47617	-13.474015	-733.21967	4122.0835	4314.0557	0.5838345296453734	0.0	0.0	0.02	168.4164731502533
118326.37034654272	53977.57558942215	185091.68872386287	13425.424273767547	200.0	0.6	0.6	178088.22098075092	0.0	178088.22098075092	178088.22098075092	200.0	1.0	1.0	2	71004.27842947192	58522.086545487145	247923.5384953926	-45.99639087470491	200.0	40000	40000	9966.045	12322.446	103532.4	-3600.4243	9966.094	12322.666	102303.76	-3355.0303	4.1013436	4.1883197	87.248245	-14.63982	-9998.859	153821.9	152356.58	6.667891156530381	0.0	0.0	0.3	359.58245730400085
130900.2386092828	39934.23999658318	183425.02583093126	55226.19773608885	200.0	0.7	0.7	129882.14433552671	0.0	129882.14433552671	129882.14433552671	200.0	0.0	0.0	3	121860.52420658001	63288.67800242522	233326.07392832506	-14.345583396881997	200.0	60000	60000	33775.29	28532.777	151249.19	-9039.337	33775.273	28532.672	150061.53	-9021.282	4.0126166	3.5553493	67.065575	-14.985151	-33867.066	590248.75	603564.7	13.597071313285827	0.0	0.0	0.55	543.8018748760223
133366.4198044815	61162.8193045641	207644.72025413936	23923.172911488367	200.0	0.8	0.8	156835.62516480676	0.0	156835.62516480676	156835.62516480676	200.0	1.0	1.0	4	151824.07667163733	54196.64461906939	258904.3453581456	1448.100911693855	200.0	80000	80000	59364.984	35341.266	191186.12	-12431.809	59364.953	35340.984	192152.95	-11879.22	3.9973536	3.192078	50.60926	-17.594387	-59420.32	864544.1	874611.5	14.920911623477936	0.0	0.0	0.72	727.2936918735504
132547.18066533466	94794.8500692491	251285.1250057406	13076.724487444499	200.0	0.7	0.7	54212.08097627803	0.0	54212.08097627803	54212.08097627803	200.0	1.0	1.0	5	142623.70000645483	58734.094147415206	293104.2281306907	20434.925710206837	200.0	100000	100000	75540.94	40754.496	205115.56	-22469.055	75540.945	40754.098	206098.92	-22048.752	4.005085	2.9880931	55.339687	-12.489321	-75576.766	1308741.2	1315312.6	16.29947043595314	0.0	0.0	0.75	909.6841034889221
132839.28567351776	66611.33801396757	215588.39795051908	35112.92536346953	200.0	0.8	0.8	198935.89104696337	0.0	198935.89104696337	198935.89104696337	200.0	1.0	1.0	6	160782.94995662736	64179.53707019493	295211.91365385806	11565.139970559423	200.0	120000	120000	88178.71	43289.57	234170.4	-30245.803	88178.83	43288.42	233987.33	-30099.25	4.0014267	2.9262426	52.153587	-12.674818	-88193.14	1923463.6	1942388.8	17.952802714443205	0.0	0.0	0.85	1092.2567749023438
238244.4980061288	38081.00263477639	293510.5420690513	171711.4853058711	200.0	1.0	1.0	206949.71474441967	0.0	206949.71474441967	206949.71474441967	200.0	1.0	1.0	7	168747.64885765687	58568.76270001447	287710.2586672973	4619.285210042014	200.0	140000	140000	97729.49	45456.234	234536.58	-40876.477	97729.19	45455.625	234115.84	-40310.13	3.999529	3.0482273	52.349743	-15.526455	-97735.27	2598444.0	2655757.0	19.267436207723616	0.0	0.0	0.93	1273.8396832942963
229492.27754429643	53964.87083761505	290901.75328039617	155658.43637568905	200.0	1.0	1.0	144588.73189090748	0.0	144588.73189090748	144588.73189090748	200.0	1.0	1.0	8	163794.58573306105	71502.7435183229	295708.8848628283	1890.6267960875723	200.0	160000	160000	106472.8	45082.926	226279.67	-30244.096	106472.86	45082.215	226208.22	-30760.291	3.9958038	2.9686854	60.830753	-14.80572	-106507.516	2783420.0	2827391.5	20.28579540233612	0.0	0.0	0.83	1454.2472207546234
184813.5784354895	44248.914257628465	267878.5489076735	89732.46336459795	200.0	0.9	0.9	143438.64890071796	0.0	143438.64890071796	143438.64890071796	200.0	1.0	1.0	9	165853.4362102422	61169.61555136983	294499.2290207065	186.06334422324377	200.0	180000	180000	110059.63	43713.176	209093.6	-18331.654	110059.984	43711.49	210216.33	-17238.363	3.999926	2.8166232	47.356495	-12.667983	-110067.02	2938141.0	2959101.2	18.898382064056396	0.0	0.0	0.84	1635.494849205017
40376.022119989175	39432.10279960244	100130.13804821309	5382.36596907787	200.0	0.2	0.2	12835.740049132657	0.0	12835.740049132657	12835.740049132657	200.0	0.0	0.0	10	166581.4525828232	69564.17435890032	301750.50419474876	2658.734898908345	200.0	200000	200000	110771.625	43692.227	213949.06	-35524.547	110772.01	43690.312	214034.67	-32290.51	4.004786	2.7878292	68.103355	-11.801438	-110753.26	3304904.2	3333905.5	19.51728602924347	0.0	0.0	0.91	1815.8810713291168
207056.14014972275	50400.75687771435	255365.89648276893	89461.61968612844	200.0	1.0	1.0	210724.05226296166	0.0	210724.05226296166	210724.05226296166	200.0	1.0	1.0	11	178733.00073994498	55425.31287651706	299252.0492022048	21570.52428393056	200.0	220000	220000	112320.36	44266.35	218122.2	-19454.227	112320.54	44264.773	217635.73	-18580.947	3.9977422	2.7943692	61.87777	-12.871386	-112296.664	3456518.5	3499940.2	20.259496739959715	0.0	0.0	0.92	1997.4771704673767
202439.84943551917	48928.93818178985	283636.6795029012	120079.998262813	200.0	1.0	1.0	223663.98062136193	0.0	223663.98062136193	223663.98062136193	200.0	1.0	1.0	12	168037.02556374518	65091.76915216021	293757.46509622544	27047.967002170826	200.0	240000	240000	115111.64	45162.93	219015.72	-20546.379	115111.984	45160.844	221780.38	-20456.844	3.9979773	2.7764452	62.83965	-13.0203285	-115059.266	3763128.2	3827549.5	19.5980910449028	0.0	0.0	0.83	2179.1473140716553
150475.37690722392	91805.85031093891	287306.17826419376	36230.375205483615	200.0	0.6	0.6	210100.69177713135	0.0	210100.69177713135	210100.69177713135	200.0	1.0	1.0	13	173595.19376901494	59167.90197768696	300201.90418159723	7365.900052947435	200.0	260000	260000	116885.516	45663.242	221062.8	-24172.963	116885.59	45661.633	220499.83	-24039.52	3.999334	2.8542306	65.44699	-11.88241	-116838.016	4014735.8	4069378.8	20.7954878367424	0.0	0.0	0.86	2360.8015608787537
219767.52273774077	38614.84058472055	291838.2738146309	175216.7500036466	200.0	1.0	1.0	191085.69804820372	0.0	191085.69804820372	191085.69804820372	200.0	1.0	1.0	14	172567.20632608444	59558.41769499838	299491.3733207452	36044.46841646012	200.0	280000	280000	118234.75	44329.742	217647.97	-28870.5	118234.99	44328.523	217603.75	-28033.387	3.9971137	2.928718	72.14861	-12.981359	-118164.01	4003822.5	4031847.8	20.256875068759918	0.0	0.0	0.91	2541.8476905822754
77382.33439704753	42112.96639022296	173999.06324050296	36836.16982411061	200.0	0.9	0.9	218327.81539326598	0.0	218327.81539326598	218327.81539326598	200.0	1.0	1.0	15	173685.09689617227	65076.83059416152	296122.85047426826	26198.027290984144	200.0	300000	300000	117864.62	44011.48	216728.34	-32221.408	117864.98	44010.85	215225.3	-31540.064	4.0013185	3.013548	68.72497	-12.185855	-117772.8	4161841.2	4149222.2	20.014029071617127	0.0	0.0	0.85	2723.1673159599304
3417.298276920251	2446.781054171078	7040.40619010251	-15.168423396957062	200.0	0.0	0.0	2172.775297670695	0.0	2172.775297670695	2172.775297670695	200.0	0.0	0.0	16	163582.085794479	53679.71462384677	289360.6930235211	33509.94975572079	200.0	320000	320000	118035.45	43689.273	213705.4	-28494.453	118035.59	43688.9	213022.25	-29402.666	3.9993527	2.9963326	83.06862	-11.78414	-117952.82	4222963.5	4205496.5	20.058696080970766	0.0	0.0	0.91	2904.000249147415
101711.37718658612	19268.026029091416	151622.85631804942	77941.70821025172	200.0	0.4	0.4	95726.94791209733	0.0	95726.94791209733	95726.94791209733	200.0	0.0	0.0	17	178655.35014195723	66269.05889665343	299392.78479616024	15473.132699475414	200.0	340000	340000	119611.07	43607.47	214784.66	-38840.832	119611.37	43605.73	214380.67	-37164.973	4.0002313	2.931738	63.46691	-12.472973	-119543.68	4170780.2	4215014.5	20.09548057861328	0.0	0.0	0.86	3085.6285984516144
174047.14474680458	68016.985235784	247662.17947579102	37264.33675360497	200.0	0.9	0.9	195095.8957899171	0.0	195095.8957899171	195095.8957899171	200.0	1.0	1.0	18	174494.356103381	62847.22822563849	293370.0720158935	35599.69583939894	200.0	360000	360000	120479.98	43358.914	214039.25	-46807.3	120480.16	43357.94	215434.7	-44135.094	4.0041165	3.0701818	89.41382	-11.333187	-120410.39	4078211.5	4097581.0	20.169021163845063	0.0	0.0	0.9	3266.561343193054
