test/stochastic/0/stick-pull-v1/return/avg	test/stochastic/0/stick-pull-v1/return/std	test/stochastic/0/stick-pull-v1/return/max	test/stochastic/0/stick-pull-v1/return/min	test/stochastic/0/stick-pull-v1/ep_length	test/stochastic/0/stick-pull-v1/success	test/stochastic/average_success	test/deterministic/0/stick-pull-v1/return/avg	test/deterministic/0/stick-pull-v1/return/std	test/deterministic/0/stick-pull-v1/return/max	test/deterministic/0/stick-pull-v1/return/min	test/deterministic/0/stick-pull-v1/ep_length	test/deterministic/0/stick-pull-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-33.481941002920806	2.9593826640128613	-27.7949275970459	-37.636547559338375	200.0	0.0	0.0	-31.13510169498807	0.0	-31.13510169498807	-31.13510169498807	200.0	0.0	0.0	1	-25.27338029937628	14.379902302497303	53.5277214050293	-56.00837202466185	200.0	20000	20000	11.304249	5.427143	21.489645	-11.428866	11.304078	5.4273663	21.699617	-11.2534485	1.8065512	4.3378634	72.065506	-14.863173	-11.594861	0.018166633	0.019069998	0.10677411904369824	0.0	0.0	0.0	173.6589756011963
-89.11756547115142	5.721570490712809	-81.70077096574298	-98.0261779771933	200.0	0.0	0.0	-91.06907371123864	0.0	-91.06907371123864	-91.06907371123864	200.0	0.0	0.0	2	-22.673989844358218	66.77965553835845	513.9034423828125	-114.91523292055314	200.0	40000	40000	-0.21547304	7.3334293	334.45285	-31.98519	-0.21570049	7.3251333	354.8945	-30.988825	4.7798634	6.907164	247.02821	-13.490468	0.032683253	0.82877314	0.89863634	0.013252722673513927	0.0	0.0	0.0	372.46425580978394
-35.780633152010694	14.99212806162554	-10.103717803955078	-60.12142317015754	200.0	0.0	0.0	-22.446518459518387	0.0	-22.446518459518387	-22.446518459518387	200.0	0.0	0.0	3	-15.636227018341149	173.30895284628448	1449.015869140625	-107.26939394779653	200.0	60000	60000	-5.679	30.804571	777.78107	-62.026463	-5.6760893	30.799967	787.2095	-62.43884	4.157294	6.5319314	114.753426	-15.152945	5.1903486	6.985594	7.1603446	0.04903782357508317	0.0	0.0	0.0	558.9955687522888
-133.01242103196347	2.7874723043515095	-129.68433941853488	-140.22624915101778	200.0	0.0	0.0	-131.8484343067637	0.0	-131.8484343067637	-131.8484343067637	200.0	0.0	0.0	4	-2.315040577960103	280.36165515297694	2761.23486328125	-103.0795681854178	200.0	80000	80000	-6.3487134	43.28137	1402.6012	-76.638115	-6.338749	43.277847	1427.0027	-78.2245	3.988257	6.2627215	157.62964	-16.021059	6.067959	19.05865	19.33317	0.06577251712400466	0.0	0.0	0.0	745.2486720085144
-84.11078572030198	4.59366037850312	-74.54954166522278	-91.09603497089195	200.0	0.0	0.0	-88.16894738739384	0.0	-88.16894738739384	-88.16894738739384	200.0	0.0	0.0	5	-61.014466079009225	26.10592565280017	43.564369201660156	-112.37246180676185	200.0	100000	100000	-16.869595	45.841003	2503.2021	-83.215	-16.871698	45.824394	2532.5784	-79.58807	4.1262913	5.1183624	103.23213	-14.039281	15.9395	46.68649	47.849613	0.08520751466564834	0.0	0.0	0.0	929.0957977771759
-61.521550357106456	5.193185238561111	-54.616941179789706	-68.18187198099207	200.0	0.0	0.0	-68.07810143118107	0.0	-68.07810143118107	-68.07810143118107	200.0	0.0	0.0	6	-64.10742151097126	18.959787183312603	-16.25284767150879	-113.08461103168662	200.0	120000	120000	-17.957663	44.249454	2187.7808	-71.42379	-17.953032	44.26874	2276.5925	-65.821304	3.9585817	5.0335946	128.75926	-14.172211	17.219381	40.06059	39.727283	0.0674275861395523	0.0	0.0	0.0	1108.5279603004456
-52.16940232127168	5.884032244968359	-40.46016987478045	-59.12622233086278	200.0	0.0	0.0	-50.80887515882713	0.0	-50.80887515882713	-50.80887515882713	200.0	0.0	0.0	7	-67.1649384014303	23.27585900051153	24.88418448998842	-125.15717275181788	200.0	140000	140000	-20.688538	46.89435	2680.5461	-68.920044	-20.690117	46.840416	2644.1755	-72.567986	3.9867759	5.2197566	95.576614	-14.161112	19.791252	57.4874	59.879868	0.07907843791097402	0.0	0.0	0.0	1285.9823851585388
-48.70022900835096	4.110662530955477	-42.00644642080117	-55.3720970229408	200.0	0.0	0.0	-50.96117435453495	0.0	-50.96117435453495	-50.96117435453495	200.0	0.0	0.0	8	-48.543698883864025	72.69838310834955	424.71282958984375	-106.385404886431	200.0	160000	160000	-20.838068	35.72647	2110.2068	-72.15159	-20.840555	35.71869	2083.9453	-77.2809	4.014511	5.545531	109.68897	-13.118971	19.875477	27.60403	27.629915	0.06613136942051351	0.0	0.0	0.0	1463.7824721336365
-42.137500113396456	5.206252771672168	-32.97549819946289	-52.89083580622843	200.0	0.0	0.0	-36.636198871118005	0.0	-36.636198871118005	-36.636198871118005	200.0	0.0	0.0	9	-67.12886085052384	25.115695835314156	44.83644485473633	-124.1207364036706	200.0	180000	180000	-24.296257	31.349915	1886.9264	-63.268368	-24.29354	31.383062	1952.9066	-59.60497	4.0936737	5.5750966	98.818726	-14.556638	23.221218	27.174097	26.113283	0.0693878653075546	0.0	0.0	0.0	1641.810571193695
-48.529149220893984	4.916734079767682	-38.90197930568431	-57.12913101111875	200.0	0.0	0.0	-44.454340682934465	0.0	-44.454340682934465	-44.454340682934465	200.0	0.0	0.0	10	-65.4590503100173	43.26732776047824	275.48862732416654	-111.94710187782594	200.0	200000	200000	-28.724438	31.141043	2217.9546	-64.947784	-28.722515	31.146687	2209.5864	-63.967392	4.018083	5.323386	92.960365	-12.835062	27.91925	23.688831	23.815132	0.06416303974408656	0.0	0.0	0.0	1819.4290790557861
-64.26227758804798	8.61012067486184	-49.26398917145376	-82.98115661491205	200.0	0.0	0.0	-75.50873848252336	0.0	-75.50873848252336	-75.50873848252336	200.0	0.0	0.0	11	-51.1239125999903	25.2702062374981	16.11782455444336	-108.97209362309933	200.0	220000	220000	-29.691353	31.390635	1769.0956	-71.00034	-29.68963	31.379072	1801.0818	-72.48664	4.034964	5.4374795	102.58539	-16.010906	28.73156	21.090765	21.59703	0.06290998334102332	0.0	0.0	0.0	1997.3478343486786
-20.05386175707425	10.404754453593593	-6.5539469718933105	-35.3823709611693	200.0	0.0	0.0	-5.394422	0.0	-5.394422	-5.394422	200.0	0.0	0.0	12	46.356783482057935	410.0392094277909	3152.971923828125	-88.86426737683345	200.0	240000	240000	-16.868258	71.50954	2681.8018	-152.96742	-16.866932	71.49936	2787.0232	-147.42128	4.1341596	5.8220444	105.7913	-13.208456	15.7207155	55.263218	56.60131	0.08253582758493722	0.0	0.0	0.0	2176.8879857063293
-22.35860961911205	6.172333276814065	-16.250003814697266	-36.3661846035409	200.0	0.0	0.0	-23.32284723727795	0.0	-23.32284723727795	-23.32284723727795	200.0	0.0	0.0	13	449.09799692393176	1632.1106429051922	7989.58056640625	-71.9681846671584	200.0	260000	260000	62.575855	226.49243	6385.3213	-543.1983	62.57697	226.4702	6031.555	-594.97394	4.058487	5.5454683	129.39062	-16.633545	-65.470924	314.6049	319.99634	0.1984255075249821	0.0	0.0	0.0	2357.272737264633
11117.333706341187	22411.81265119871	70863.953125	-24.178741455078125	200.0	0.1	0.1	-26.428788266199884	0.0	-26.428788266199884	-26.428788266199884	200.0	0.0	0.0	14	1756.663123195915	11891.81853558294	115124.828125	-65.64011470179203	200.0	280000	280000	464.15695	1046.5801	36591.88	-1867.9391	464.1752	1046.6515	36466.8	-1978.819	4.167823	5.5261006	137.58594	-13.923692	-471.5558	3333.2478	3271.3323	0.4942981034785509	0.0	0.0	0.01	2538.343415737152
-17.67021785208156	5.008089667596566	-13.29317056137883	-30.346268768920662	200.0	0.0	0.0	-15.410093221113705	0.0	-15.410093221113705	-15.410093221113705	200.0	0.0	0.0	15	1236.7667150346065	5638.60190047614	49939.62109375	-98.83629586597418	200.0	300000	300000	820.95264	2479.2915	51697.348	-3909.3616	821.1032	2479.3076	51506.72	-3831.3413	4.1093884	6.025447	102.306526	-13.886802	-839.915	30631.379	30385.158	1.4025519906371833	0.0	0.0	0.03	2718.914534807205
-12.93157720765239	6.34689237993892	3.624735840482386	-21.834850311220045	200.0	0.0	0.0	-13.061582	0.0	-13.061582	-13.061582	200.0	0.0	0.0	16	4153.443629945733	19846.2387138842	190878.40625	-44.38565444946289	200.0	320000	320000	2222.4312	3884.927	53246.97	-5833.852	2222.4785	3885.0789	53163.363	-5451.981	4.052451	4.6686034	81.31925	-14.796213	-2258.9475	54204.188	53181.754	2.334363999271393	0.0	0.0	0.04	2899.4269766807556
