test/stochastic/0/push-back-v1/return/avg	test/stochastic/0/push-back-v1/return/std	test/stochastic/0/push-back-v1/return/max	test/stochastic/0/push-back-v1/return/min	test/stochastic/0/push-back-v1/ep_length	test/stochastic/0/push-back-v1/success	test/stochastic/average_success	test/deterministic/0/push-back-v1/return/avg	test/deterministic/0/push-back-v1/return/std	test/deterministic/0/push-back-v1/return/max	test/deterministic/0/push-back-v1/return/min	test/deterministic/0/push-back-v1/ep_length	test/deterministic/0/push-back-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-27.62543091584423	5.316629511889474	-21.653240647876856	-35.343270966525765	200.0	0.0	0.0	-19.653883256260315	0.0	-19.653883256260315	-19.653883256260315	200.0	0.0	0.0	1	-56.317142478614066	22.875985475721325	-25.635947969092193	-122.36276912509621	200.0	20000	20000	5.5700994	7.8758397	19.316286	-26.39678	5.5698385	7.875931	19.361755	-26.216114	2.1621974	4.8084316	32.185722	-14.896474	-5.8895698	0.023350924	0.024361096	0.11138005035571558	0.0	0.0	0.0	167.75032377243042
-32.592499820260166	3.6971201908813267	-26.784271659457364	-39.412578883948946	200.0	0.0	0.0	-41.626666585349504	0.0	-41.626666585349504	-41.626666585349504	200.0	0.0	0.0	2	-28.599524021523308	5.027967806710511	-22.290172397160863	-57.84469241872934	200.0	40000	40000	-6.926512	5.446784	2.3167386	-40.078373	-6.926503	5.446766	2.4035037	-40.049538	3.972256	5.520034	54.031654	-14.469392	6.8652763	0.029758466	0.02984513	0.005545152992382646	0.0	0.0	0.0	356.3889832496643
-23.49093604903078	2.4697304945669525	-20.862437030441033	-28.48716936324951	200.0	0.0	0.0	-25.824165618115412	0.0	-25.824165618115412	-25.824165618115412	200.0	0.0	0.0	3	-26.000426406491655	4.1133413027938115	-20.927532401124264	-48.29260896051026	200.0	60000	60000	-10.925546	4.827004	-5.6890173	-48.72984	-10.925563	4.827055	-5.727523	-49.247982	3.9754677	5.1403112	73.325455	-13.517534	10.899951	0.030949084	0.030275442	0.0035242916628485544	0.0	0.0	0.0	534.223484992981
-22.644703451883732	1.9974699521924972	-19.263853726906724	-26.53946963783501	200.0	0.0	0.0	-18.971719107058025	0.0	-18.971719107058025	-18.971719107058025	200.0	0.0	0.0	4	-24.33427559797303	6.180816637959457	-17.647257926434843	-66.34299551902664	200.0	80000	80000	-11.86098	4.8808913	-8.074298	-57.96901	-11.860979	4.8809557	-8.235317	-56.00458	3.9963818	5.052482	126.74812	-14.206978	11.848959	0.03605175	0.035382904	0.002906883302924689	0.0	0.0	0.0	713.2892115116119
-19.255674146547754	1.246433011546381	-17.598340766024577	-21.75198333263571	200.0	0.0	0.0	-18.69030037304345	0.0	-18.69030037304345	-18.69030037304345	200.0	0.0	0.0	5	-22.838793119027365	3.9558561589062955	5.494227886199951	-31.945492774260867	200.0	100000	100000	-11.693669	4.7481294	-9.074374	-62.59431	-11.693671	4.7481666	-9.110523	-63.741795	3.9930484	5.193457	179.8839	-14.362876	11.686705	0.036923714	0.03658897	0.002501273970596958	0.0	0.0	0.0	891.9658675193787
-39.62863236815515	0.9413215785558762	-37.38374002372924	-40.58296127479793	200.0	0.0	0.0	-40.82655066476368	0.0	-40.82655066476368	-40.82655066476368	200.0	0.0	0.0	6	-25.065234420162536	6.19859474051649	-18.185963309111116	-52.22933331689248	200.0	120000	120000	-11.27198	4.5278373	31.792147	-69.16107	-11.271983	4.5278754	35.43478	-68.71446	4.012521	5.2270722	110.33644	-13.427161	11.267368	0.041295674	0.040667687	0.0024812465861439705	0.0	0.0	0.0	1070.2492735385895
1081.995150441752	3575.979846342986	11809.3076171875	-161.65782310556875	200.0	0.0	0.0	-135.64861754712769	0.0	-135.64861754712769	-135.64861754712769	200.0	0.0	0.0	7	1003.4895819171782	8001.300581604458	78273.21001628756	-201.50700056204332	200.0	140000	140000	7.8057213	147.63907	4608.8643	-99.10826	7.8096476	147.6395	4635.26	-100.52098	5.2863975	7.643199	186.77502	-13.22077	-9.070435	71.198364	70.934875	0.031436550122592596	0.0	0.0	0.02	1248.81170129776
86.85589468107284	518.1109848571127	1636.82275390625	-139.7385631033912	200.0	0.0	0.0	-114.65998181567359	0.0	-114.65998181567359	-114.65998181567359	200.0	0.0	0.0	8	2026.3421535950404	9685.004910205858	74536.515625	-186.91238328280923	200.0	160000	160000	794.0286	2393.6133	57980.02	-1286.1447	794.0315	2393.6782	58816.688	-1254.151	4.3075037	6.8602943	111.26036	-13.061561	-814.41315	7431.9185	7269.88	0.6119032865345478	0.0	0.0	0.05	1427.6529304981232
-59.07323761731044	84.73578820045383	192.79238891601562	-98.46046902016106	200.0	0.0	0.0	-100.55624482420684	0.0	-100.55624482420684	-100.55624482420684	200.0	0.0	0.0	9	1543.6074282328657	8205.525542885209	70375.5859375	-146.9953805759021	200.0	180000	180000	3549.4836	6914.8184	74713.94	-1934.6705	3549.4612	6914.8228	75212.15	-1795.8878	4.0207624	5.447528	78.355125	-15.53143	-3596.797	22521.248	22522.139	1.3125324939042329	0.0	0.0	0.03	1606.294311285019
16261.81655930132	35586.58963418864	113045.625	-136.1822554529046	200.0	0.1	0.1	77810.80706733755	0.0	77810.80706733755	77810.80706733755	200.0	0.0	0.0	10	5506.619821068104	21641.495820619286	184280.296875	-115.1112960690654	200.0	200000	200000	4816.131	8489.579	87047.05	-2023.922	4816.145	8489.672	88380.7	-1941.5994	4.0137105	5.372961	78.43923	-14.367315	-4846.2554	24923.564	24141.412	1.4107855944752694	0.0	0.0	0.07	1785.3142347335815
105.3056424442826	342.31175073390693	1027.30126953125	-147.8519640761883	200.0	0.0	0.0	9195.19	0.0	9195.19	9195.19	200.0	0.0	0.0	11	5718.341979291145	17985.67176800417	131527.59164808263	-138.97085088761546	200.0	220000	220000	5263.967	9772.924	97819.82	-3729.5134	5263.9785	9773.053	95180.445	-3717.8088	4.0517445	5.278303	102.4413	-13.335078	-5295.8823	70359.375	68531.734	2.336675897037983	0.0	0.0	0.12	1964.2182955741882
52180.20820953399	76217.13946852015	235164.375	44.24772759517967	200.0	0.3	0.3	134095.88	0.0	134095.88	134095.88	200.0	1.0	1.0	12	22670.575603717203	42285.80458271109	206284.29331356887	-109.18155559239166	200.0	240000	240000	6927.908	11462.661	90678.8	-12756.92	6928.049	11462.485	89832.62	-14223.669	4.036616	4.8590846	96.903175	-18.598837	-6970.4194	169013.78	169220.47	3.915584021997452	0.0	0.0	0.25	2145.022488594055
49389.30000154973	60423.182983106075	152867.21029561924	-91.20916800148689	200.0	0.4	0.4	10010.824918399965	0.0	10010.824918399965	10010.824918399965	200.0	1.0	1.0	13	46581.041003475824	61179.25746214174	267823.4825363606	-143.10576641395025	200.0	260000	260000	10990.376	14109.381	99972.54	-15657.005	10990.427	14109.495	100168.984	-16693.969	4.018164	4.056546	88.55711	-13.848711	-11088.706	322866.84	319609.88	6.57400021314621	0.0	0.0	0.46	2326.397156238556
21745.294007902987	41711.44457892264	110854.15625	-104.3463650324831	200.0	0.0	0.0	301.33582	0.0	301.33582	301.33582	200.0	0.0	0.0	14	68805.02462184959	70252.60186904902	299402.6526528172	-96.78846010784312	200.0	280000	280000	15251.502	18724.396	117712.79	-22682.873	15251.19	18725.594	117150.055	-21467.941	4.00621	4.0813894	93.09059	-13.401001	-15360.403	611448.94	593856.3	7.566047362136841	0.0	0.0	0.62	2508.766655445099
124274.42273332777	89640.8799464476	255118.515625	-96.54933135589077	200.0	0.7	0.7	218829.22	0.0	218829.22	218829.22	200.0	1.0	1.0	15	85491.31294002026	94710.69612773892	344457.4375	-116.37927300896158	200.0	300000	300000	20445.432	25595.014	142662.05	-26253.648	20445.113	25596.225	141645.34	-24778.438	4.0066915	4.1033883	95.19063	-14.196197	-20596.742	870774.06	852908.25	9.534840729522704	0.0	0.0	0.61	2691.2210602760315
181961.05707861105	129503.76563723908	333031.625	2929.708984375	200.0	0.7	0.7	293615.3	0.0	293615.3	293615.3	200.0	1.0	1.0	16	122576.74268041183	99461.8167961833	326020.03125	-129.1168535835083	200.0	320000	320000	26857.494	32552.639	160486.66	-34019.523	26857.19	32553.256	160323.94	-35500.48	4.005635	3.979159	77.62982	-13.577791	-27046.576	1183501.8	1173958.0	11.18882936167717	0.0	0.0	0.73	2874.2426812648773
121823.45808337648	71113.68434234904	233135.98416501537	137.9056396484375	200.0	0.8	0.8	310865.90025288827	0.0	310865.90025288827	310865.90025288827	200.0	1.0	1.0	17	147186.7785335039	96690.59451087327	315297.15625	-112.45014446793961	200.0	340000	340000	34036.293	37767.418	166017.06	-46870.36	34036.37	37767.65	166032.4	-46450.367	4.0094686	3.7897441	74.039925	-13.9192915	-34249.14	1514198.5	1505042.0	14.032741968536376	0.0	0.0	0.88	3057.002789258957
204774.19	70892.79	298733.75	68781.055	200.0	1.0	1.0	125598.42389557455	0.0	125598.42389557455	125598.42389557455	200.0	1.0	1.0	18	166456.83884677128	90043.28887014471	310110.40625	-90.7235290918245	200.0	360000	360000	43042.73	41671.0	174369.66	-48535.953	43042.582	41671.594	175895.98	-47754.47	4.0063806	3.5285118	61.303207	-14.929086	-43298.05	1919959.5	1912804.4	18.156800928497315	0.0	0.0	0.92	3239.961112499237
236667.67561957156	52772.56714384788	330225.09375	151002.8273145993	200.0	1.0	1.0	206628.52202737698	0.0	206628.52202737698	206628.52202737698	200.0	1.0	1.0	19	189267.310321721	78899.17209773502	311488.375	-106.12791841400166	200.0	380000	380000	52761.484	43258.59	177891.05	-52940.81	52761.39	43259.332	177300.39	-53894.434	4.0013776	3.3229942	85.13752	-13.673709	-53062.555	2034882.4	2023510.9	21.107565101623535	0.0	0.0	0.95	3422.6019234657288
222773.6455770211	87189.818244018	308656.375	-98.89702125361713	200.0	0.9	0.9	197795.27	0.0	197795.27	197795.27	200.0	1.0	1.0	20	197567.43548321814	84000.35592842485	323057.625	-106.55623808407222	200.0	400000	400000	62204.332	45252.367	182112.95	-63808.316	62204.113	45252.89	181860.88	-66131.125	3.999954	3.2432625	76.065475	-16.056438	-62528.54	2053786.9	2060842.8	21.465745643901826	0.0	0.0	0.93	3606.1540853977203
246134.88	44624.31	295306.3	150545.03	200.0	1.0	1.0	173853.88	0.0	173853.88	173853.88	200.0	1.0	1.0	21	211419.89385975667	80077.2834588077	329093.625	-82.6725232870279	200.0	420000	420000	70286.81	47788.316	179841.31	-65013.305	70286.49	47788.715	179773.89	-66085.93	4.002609	3.2107825	74.38748	-16.085348	-70638.46	2180068.8	2189386.0	23.09941498413086	0.0	0.0	0.97	3791.4319474697113
123717.37380782313	83338.84546126297	278259.375	-70.38638318117731	200.0	0.8	0.8	93926.93	0.0	93926.93	93926.93	200.0	1.0	1.0	22	227147.0536562665	85170.04848922045	327286.78125	-101.73531402403768	200.0	440000	440000	76645.54	48952.33	180870.88	-71737.0	76645.29	48952.848	181650.47	-70634.75	4.005551	3.1858032	69.509636	-14.906363	-76998.5	2200597.0	2221522.0	23.773557864665985	0.0	0.0	0.95	3977.2000386714935
213761.17	107917.44	307510.22	-55.965343	200.0	0.8	0.8	53.318665	0.0	53.318665	53.318665	200.0	0.0	0.0	23	249177.79013178844	67623.68537779513	322831.0	-62.467681884765625	200.0	460000	460000	83161.26	51233.89	182552.78	-76162.445	83161.0	51234.984	182638.48	-77384.41	3.9976027	3.1429734	70.63676	-13.180884	-83525.375	2263876.0	2265627.8	24.36419880809784	0.0	0.0	0.98	4161.630067110062
175907.86	29335.148	219497.94	107228.664	200.0	1.0	1.0	171402.19	0.0	171402.19	171402.19	200.0	1.0	1.0	24	273555.25	51371.844	331141.88	61702.773	200.0	480000	480000	90135.57	52854.92	190206.97	-87903.65	90135.336	52855.434	190797.8	-88959.125	4.0003705	3.081152	70.73833	-13.730738	-90521.125	2246473.8	2263967.8	25.90468145942688	0.0	0.0	1.0	4346.831913471222
